Education level,All workers,High school,University
Location,Brazil,Brazil,Brazil
Quarter,,,
2012Q1,2729,2452,7081
2012Q2,2575,2282,6606
2012Q3,2597,2281,6621
2012Q4,2617,2289,6602
2013Q1,2745,2405,6881
2013Q2,2650,2333,6597
2013Q3,2686,2365,6634
2013Q4,2698,2383,6626
2014Q1,2830,2444,6974
2014Q2,2708,2291,6699
2014Q3,2717,2299,6744
2014Q4,2733,2327,6664
2015Q1,2816,2389,6837
2015Q2,2704,2243,6591
2015Q3,2661,2213,6440
2015Q4,2742,2296,6552
2016Q1,2921,2392,7008
2016Q2,2626,2163,6201
2016Q3,2647,2169,6186
2016Q4,2741,2240,6388
2017Q1,2957,2377,6905
2017Q2,2663,2124,6198
2017Q3,2693,2125,6266
2017Q4,2785,2211,6484
2018Q1,2980,2348,6859
2018Q2,2727,2146,6205
2018Q3,2729,2121,6249
2018Q4,2820,2210,6368
2019Q1,3022,2338,6790
2019Q2,2721,2098,6081
2019Q3,2736,2101,6154
2019Q4,2851,2188,6398
2020Q1,3044,2288,6715
