Education level,All workers,High school,University
Location,São Paulo,São Paulo,São Paulo
Quarter,,,
2012Q1,4009,2716,8814
2012Q2,3948,2542,8388
2012Q3,3988,2492,8498
2012Q4,4139,2590,8646
2013Q1,4068,2772,8197
2013Q2,4198,2795,8573
2013Q3,4130,2901,8315
2013Q4,4016,2659,8202
2014Q1,4410,2806,9138
2014Q2,4531,2613,9530
2014Q3,4713,2783,9794
2014Q4,4593,2728,9140
2015Q1,4581,2630,9178
2015Q2,4614,2652,9330
2015Q3,4435,2563,8901
2015Q4,4869,2682,10320
2016Q1,4765,2604,9544
2016Q2,4406,2424,8950
2016Q3,4417,2453,8693
2016Q4,4695,2538,9251
2017Q1,4787,2566,9481
2017Q2,4487,2391,9106
2017Q3,4571,2332,9498
2017Q4,4706,2472,9784
2018Q1,5202,2673,10805
2018Q2,4731,2602,9734
2018Q3,4546,2494,9319
2018Q4,4996,2690,10023
2019Q1,5142,2579,10272
2019Q2,4621,2292,9315
2019Q3,4570,2250,9206
2019Q4,4823,2410,9596
2020Q1,5140,2540,9850
